STUSAB,COUNTY,AREALAND,AREAWATR,BASENAME,NAME,FUNCSTAT,POP100,HU100,INTPTLAT,INTPTLON,LSADC,P0010001,P0010002,P0010003,P0010004,P0010005,P0010006,P0010007,P0010008,P0010009,P0010010,P0010011,P0010012,P0010013,P0010014,P0010015,P0010016,P0010017,P0010018,P0010019,P0010020,P0010021,P0010022,P0010023,P0010024,P0010025,P0010026,P0010027,P0010028,P0010029,P0010030,P0010031,P0010032,P0010033,P0010034,P0010035,P0010036,P0010037,P0010038,P0010039,P0010040,P0010041,P0010042,P0010043,P0010044,P0010045,P0010046,P0010047,P0010048,P0010049,P0010050,P0010051,P0010052,P0010053,P0010054,P0010055,P0010056,P0010057,P0010058,P0010059,P0010060,P0010061,P0010062,P0010063,P0010064,P0010065,P0010066,P0010067,P0010068,P0010069,P0010070,P0010071,P0020001,P0020002,P0020003,P0020004,P0020005,P0020006,P0020007,P0020008,P0020009,P0020010,P0020011,P0020012,P0020013,P0020014,P0020015,P0020016,P0020017,P0020018,P0020019,P0020020,P0020021,P0020022,P0020023,P0020024,P0020025,P0020026,P0020027,P0020028,P0020029,P0020030,P0020031,P0020032,P0020033,P0020034,P0020035,P0020036,P0020037,P0020038,P0020039,P0020040,P0020041,P0020042,P0020043,P0020044,P0020045,P0020046,P0020047,P0020048,P0020049,P0020050,P0020051,P0020052,P0020053,P0020054,P0020055,P0020056,P0020057,P0020058,P0020059,P0020060,P0020061,P0020062,P0020063,P0020064,P0020065,P0020066,P0020067,P0020068,P0020069,P0020070,P0020071,P0020072,P0020073,P0030001,P0030002,P0030003,P0030004,P0030005,P0030006,P0030007,P0030008,P0030009,P0030010,P0030011,P0030012,P0030013,P0030014,P0030015,P0030016,P0030017,P0030018,P0030019,P0030020,P0030021,P0030022,P0030023,P0030024,P0030025,P0030026,P0030027,P0030028,P0030029,P0030030,P0030031,P0030032,P0030033,P0030034,P0030035,P0030036,P0030037,P0030038,P0030039,P0030040,P0030041,P0030042,P0030043,P0030044,P0030045,P0030046,P0030047,P0030048,P0030049,P0030050,P0030051,P0030052,P0030053,P0030054,P0030055,P0030056,P0030057,P0030058,P0030059,P0030060,P0030061,P0030062,P0030063,P0030064,P0030065,P0030066,P0030067,P0030068,P0030069,P0030070,P0030071,P0040001,P0040002,P0040003,P0040004,P0040005,P0040006,P0040007,P0040008,P0040009,P0040010,P0040011,P0040012,P0040013,P0040014,P0040015,P0040016,P0040017,P0040018,P0040019,P0040020,P0040021,P0040022,P0040023,P0040024,P0040025,P0040026,P0040027,P0040028,P0040029,P0040030,P0040031,P0040032,P0040033,P0040034,P0040035,P0040036,P0040037,P0040038,P0040039,P0040040,P0040041,P0040042,P0040043,P0040044,P0040045,P0040046,P0040047,P0040048,P0040049,P0040050,P0040051,P0040052,P0040053,P0040054,P0040055,P0040056,P0040057,P0040058,P0040059,P0040060,P0040061,P0040062,P0040063,P0040064,P0040065,P0040066,P0040067,P0040068,P0040069,P0040070,P0040071,P0040072,P0040073,H0010001,H0010002,H0010003,P0050001,P0050002,P0050003,P0050004,P0050005,P0050006,P0050007,P0050008,P0050009,P0050010
ID,81.0,1163139971,2868473,Teton,Teton County,A,11630,5815,43.7609939,-111.2117653,06,11630,10761,9413,25,77,54,0,1192,869,828,23,105,55,0,621,1,4,0,2,1,0,8,5,3,0,35,3,1,0,0,1,2,19,6,1,0,0,0,0,0,0,0,2,0,0,0,6,0,2,0,1,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,11630,2020,9610,9270,9141,16,25,51,0,37,340,327,19,101,55,0,140,0,4,0,0,0,0,0,5,3,0,11,1,0,0,0,0,2,0,6,0,0,0,0,0,0,0,0,2,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8615,8073,7216,22,45,51,0,739,542,521,13,82,24,0,388,1,4,0,2,1,0,0,5,1,0,20,3,0,0,0,1,1,11,1,1,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,8615,1235,7380,7167,7061,15,15,48,0,28,213,208,12,78,24,0,84,0,4,0,0,0,0,0,5,1,0,5,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5815,4360,1455,27,27,0,0,19,8,0,0,0,0
ID,83.0,4977206090,18070790,Twin Falls,Twin Falls County,A,90046,34693,42.352309,-114.6656386,06,90046,82210,72215,1057,934,1431,217,6356,7836,7559,363,1504,602,78,4860,9,7,5,19,0,0,61,21,24,6,255,21,3,0,32,24,1,111,36,16,5,0,0,4,0,0,0,0,0,0,2,12,2,0,2,0,0,0,4,0,0,0,0,2,0,0,2,10,10,0,0,0,0,0,0,0,90046,15210,74836,71560,68169,1021,499,1403,201,267,3276,3178,329,1321,565,78,818,9,7,4,2,0,0,7,21,17,0,92,19,3,0,4,23,0,1,36,6,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,4,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,65472,60578,53808,585,696,1038,137,4314,4894,4748,162,1036,298,37,3105,8,7,4,10,0,0,45,17,16,3,135,17,2,0,7,13,0,56,21,8,5,0,0,4,0,0,0,0,0,0,2,5,1,0,2,0,0,0,0,0,0,0,0,0,0,0,2,6,6,0,0,0,0,0,0,0,65472,9561,55911,53798,51513,565,387,1024,128,181,2113,2053,148,952,278,37,585,8,7,4,2,0,0,1,17,14,0,59,17,2,0,0,12,0,1,21,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,34693,32761,1932,1703,1063,288,22,753,0,640,321,0,319
ID,85.0,9492613296,177110436,Valley,Valley County,A,11746,12189,44.8559596,-115.6180612,06,11746,11064,10597,17,73,61,8,308,682,647,26,233,31,1,347,0,4,1,0,2,0,2,0,0,0,31,5,0,0,4,0,6,2,6,1,2,0,0,1,0,0,0,4,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,11746,601,11145,10678,10467,16,54,55,8,78,467,445,15,229,31,1,161,0,3,1,0,2,0,2,0,0,0,18,0,0,0,0,0,6,1,6,1,0,0,0,0,0,0,0,4,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,9560,9079,8754,11,59,43,1,211,481,463,11,169,26,1,250,0,3,1,0,0,0,2,0,0,0,15,5,0,0,0,0,0,1,2,1,2,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,9560,403,9157,8820,8659,11,51,39,1,59,337,326,3,166,26,1,125,0,2,1,0,0,0,2,0,0,0,8,0,0,0,0,0,0,1,2,1,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,12189,5131,7058,143,88,59,0,29,0,55,9,0,46
ID,87.0,3762870369,53228012,Washington,Washington County,A,10500,4514,44.4482229,-116.7977917,06,10500,9592,8571,22,112,82,7,798,908,856,49,228,78,12,475,2,0,0,0,0,0,8,4,0,0,44,6,0,0,0,3,0,22,4,0,7,0,0,0,0,0,2,0,0,0,0,8,0,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10500,1662,8838,8350,8118,17,74,81,7,53,488,473,43,206,74,12,134,0,0,0,0,0,0,0,4,0,0,15,6,0,0,0,3,0,3,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8040,7463,6717,10,94,71,7,564,577,554,14,164,31,8,326,2,0,0,0,0,0,5,4,0,0,19,0,0,0,0,3,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8040,1064,6976,6660,6474,10,64,70,7,35,316,310,13,153,31,8,101,0,0,0,0,0,0,0,4,0,0,6,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4514,4087,427,147,120,23,0,65,32,27,0,0,27
IL,1.0,2214826188,41754317,Adams,Adams County,A,65737,30235,39.9860525,-91.1949607,06,65737,62520,58837,2501,104,513,39,526,3217,3040,1041,872,196,40,763,25,19,2,73,0,0,8,0,1,0,172,83,8,3,16,10,5,17,12,10,0,0,0,5,0,0,0,3,0,0,0,5,2,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,65737,1287,64450,61701,58389,2464,92,500,33,223,2749,2620,1018,843,195,38,423,24,17,2,56,0,0,4,0,0,0,126,75,5,3,13,6,5,0,12,5,0,0,0,2,0,0,0,0,0,0,0,3,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,51030,49256,46643,1771,85,384,22,351,1774,1710,358,647,90,17,521,23,15,2,32,0,0,4,0,1,0,63,32,0,0,7,1,5,8,5,3,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,51030,796,50234,48724,46367,1747,75,381,19,135,1510,1459,354,632,90,17,301,23,15,2,21,0,0,4,0,0,0,50,29,0,0,6,1,5,0,5,2,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,30235,27313,2922,1614,962,76,19,862,5,652,486,0,166
IL,3.0,609667765,44639203,Alexander,Alexander County,A,5240,2946,37.1836583,-89.3495158,06,5240,4978,3311,1617,24,6,0,20,262,248,75,106,6,0,51,3,0,0,3,3,0,1,0,0,0,8,2,0,0,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,6,5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5240,82,5158,4922,3274,1612,22,6,0,8,236,228,74,102,6,0,40,3,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4238,4057,2746,1264,22,6,0,19,181,174,26,85,5,0,49,3,0,0,3,3,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4238,57,4181,4017,2723,1259,22,6,0,7,164,159,25,84,5,0,39,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2946,2384,562,79,58,0,0,58,0,21,0,0,21
IL,5.0,985065096,6462629,Bond,Bond County,A,16725,6858,38.885924,-89.4365916,06,16725,16051,14446,1077,52,105,11,360,674,632,139,232,36,10,193,10,0,0,0,7,0,0,2,3,0,40,10,0,0,2,2,0,10,6,0,0,2,0,3,4,1,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16725,604,16121,15587,14264,1073,52,94,11,93,534,506,136,219,33,7,99,7,0,0,0,5,0,0,0,0,0,28,10,0,0,1,0,0,3,5,0,0,1,0,3,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13675,13261,11770,1015,47,92,11,326,414,397,35,175,19,10,138,10,0,0,0,5,0,0,2,3,0,17,0,0,0,2,0,0,7,2,0,0,0,0,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13675,500,13175,12839,11613,1011,47,88,11,69,336,327,35,171,19,7,83,7,0,0,0,5,0,0,0,0,0,9,0,0,0,1,0,0,0,2,0,0,0,0,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6858,6164,694,2361,1437,1363,0,74,0,924,892,0,32
IL,7.0,727114618,3360626,Boone,Boone County,A,53448,20157,42.3189831,-88.8242951,06,53448,47368,38766,1245,498,659,24,6176,6080,5892,426,611,279,20,4315,10,8,4,51,2,0,158,1,5,2,181,35,0,0,15,16,2,87,0,10,2,1,0,3,0,1,7,0,2,0,0,3,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,4,4,0,0,0,0,0,0,0,53448,12880,40568,38759,36689,1171,72,637,9,181,1809,1753,389,536,264,19,524,10,7,1,0,0,0,1,1,0,1,52,27,0,0,4,15,2,1,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,40102,36363,30538,849,356,502,18,4100,3739,3628,135,434,132,17,2761,10,3,1,22,2,0,104,1,4,2,105,20,0,0,6,8,0,58,0,7,2,1,0,3,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,40102,8182,31920,30827,29333,809,61,496,9,119,1093,1066,132,394,132,16,375,10,3,1,0,0,0,1,1,0,1,23,13,0,0,0,8,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,20157,19109,1048,263,263,50,0,213,0,0,0,0,0
IL,9.0,791828626,4144346,Brown,Brown County,A,6244,2330,39.9620694,-90.7503095,06,6244,6066,4779,1054,11,12,0,210,178,164,9,78,19,11,37,0,2,0,2,1,0,0,0,0,5,12,3,0,0,4,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,6244,282,5962,5819,4764,1035,7,11,0,2,143,133,7,77,18,11,17,0,2,0,0,1,0,0,0,0,0,9,3,0,0,4,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,5156,5052,3797,1043,0,5,0,207,104,92,1,56,5,3,20,0,0,0,2,0,0,0,0,0,5,10,3,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,5156,265,4891,4811,3782,1024,0,4,0,1,80,72,0,55,4,3,10,0,0,0,0,0,0,0,0,0,0,7,3,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,2330,1959,371,1706,1690,1607,0,53,30,16,0,0,16
IL,11.0,2250884551,11523914,Bureau,Bureau County,A,33244,15616,41.4013043,-89.5283772,06,33244,31192,29358,275,147,300,21,1091,2052,2002,216,421,85,3,1242,0,7,2,8,0,4,5,2,1,6,45,5,0,0,10,0,1,16,4,1,0,0,0,4,1,0,2,0,1,0,0,4,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,33244,3095,30149,29189,28511,259,49,298,21,51,960,939,201,393,84,3,235,0,7,2,8,0,4,0,2,0,0,18,5,0,0,0,0,1,4,4,1,0,0,0,0,1,0,2,0,0,0,0,2,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,26212,24943,23625,198,116,246,11,747,1269,1245,70,304,36,1,806,0,7,0,6,0,4,2,2,1,6,20,3,0,0,4,0,1,12,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,26212,1975,24237,23652,23124,189,39,246,11,43,585,575,70,289,35,1,161,0,7,0,6,0,4,0,2,0,0,8,3,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,15616,14179,1437,426,345,25,2,318,0,81,42,0,39
IL,13.0,657415184,77051402,Calhoun,Calhoun County,A,4437,2282,39.1642619,-90.6662948,06,4437,4271,4227,7,10,7,0,20,166,154,10,94,3,0,41,0,0,0,2,3,0,0,1,0,0,10,0,3,0,1,2,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4437,64,4373,4241,4217,7,4,7,0,6,132,126,10,93,3,0,14,0,0,0,2,3,0,0,1,0,0,4,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3535,3424,3395,7,4,7,0,11,111,101,1,68,1,0,27,0,0,0,0,3,0,0,1,0,0,8,0,3,0,1,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3535,32,3503,3409,3385,7,4,7,0,6,94,88,1,68,1,0,14,0,0,0,0,3,0,0,1,0,0,4,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2282,1831,451,95,73,0,0,73,0,22,0,0,22
IL,15.0,1153597401,55881822,Carroll,Carroll County,A,15702,8159,42.0709,-89.9241894,06,15702,15097,14117,694,63,40,5,178,605,575,76,152,48,18,252,7,1,1,1,2,0,6,2,4,5,22,9,0,0,0,2,0,2,4,0,0,2,0,0,0,3,0,0,0,0,0,5,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,3,0,0,0,0,0,0,15702,757,14945,14545,13743,676,49,40,5,32,400,386,71,145,42,18,97,7,1,0,1,1,0,0,0,0,3,12,9,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12871,12495,11588,677,62,34,1,133,376,355,26,115,20,8,168,7,0,1,0,1,0,6,2,1,0,14,9,0,0,0,0,0,0,0,0,0,2,0,0,0,3,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,12871,552,12319,12071,11302,659,49,34,1,26,248,234,21,108,20,8,70,7,0,0,0,0,0,0,0,0,0,12,9,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8159,6504,1655,1219,1209,1085,0,124,0,10,0,0,10
IL,17.0,973198204,20569928,Cass,Cass County,A,13042,5676,39.9692024,-90.2457045,06,13042,12134,9528,725,129,117,41,1594,908,871,74,127,10,1,580,5,0,0,38,0,1,31,0,4,0,11,0,0,0,3,2,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,21,3,0,13,0,0,0,0,3,0,0,0,0,0,2,0,5,3,2,0,0,0,0,0,0,13042,2789,10253,9963,9061,706,36,117,33,10,290,281,74,116,10,1,74,5,0,0,0,0,1,0,0,0,0,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,2,0,0,0,0,0,0,9826,9246,7543,439,93,95,30,1046,580,563,14,111,6,1,372,5,0,0,25,0,0,25,0,4,0,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,10,0,0,5,0,0,0,0,3,0,0,0,0,0,2,0,3,3,0,0,0,0,0,0,0,9826,1742,8084,7890,7302,431,27,95,25,10,194,187,14,106,6,1,55,5,0,0,0,0,0,0,0,0,0,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,5676,5099,577,133,94,0,0,94,0,39,0,0,39
IL,19.0,2579896781,6111775,Champaign,Champaign County,A,205865,93075,40.1389845,-88.1969749,06,205865,190868,129083,28675,783,24487,84,7756,14997,14049,3475,2014,2250,119,5185,238,119,21,366,12,0,142,36,70,2,849,312,92,7,163,37,6,163,23,30,0,0,0,2,7,1,1,3,0,1,1,96,37,0,33,1,10,0,3,3,4,5,0,0,0,0,0,2,2,0,0,0,0,0,1,1,205865,16666,189199,179151,125280,28215,279,24420,60,897,10048,9465,3281,1856,2209,114,1396,211,113,21,171,8,0,0,34,49,2,533,275,92,7,62,36,6,15,16,12,0,0,0,2,6,1,1,2,0,0,0,49,31,0,8,0,5,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,1,1,166418,156830,108165,20436,567,21906,54,5702,9588,9015,1437,1585,1448,88,3768,173,75,15,233,4,0,99,31,57,2,500,185,34,7,93,23,0,111,16,15,0,0,0,2,7,1,1,3,0,1,1,72,25,0,31,1,7,0,0,3,0,5,0,0,0,0,0,0,0,0,0,0,0,0,1,1,166418,11970,154448,148215,105263,20165,238,21856,44,649,6233,5889,1367,1487,1428,87,1073,165,75,15,117,2,0,0,31,40,2,305,167,34,7,36,23,0,9,14,3,0,0,0,2,6,1,1,2,0,0,0,38,23,0,8,0,2,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,1,1,93075,84419,8656,15064,1153,164,66,923,0,13911,13255,0,656
IL,21.0,1837569687,16227346,Christian,Christian County,A,34032,15184,39.5455242,-89.2795927,06,34032,32857,31437,390,62,179,3,786,1175,1118,184,487,66,4,352,0,5,0,8,0,0,1,9,2,0,49,20,0,0,10,0,0,9,2,5,0,3,0,0,0,0,0,0,0,0,0,8,7,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34032,1094,32938,31905,31226,380,59,179,1,60,1033,1018,170,477,66,2,279,0,5,0,8,0,0,0,9,2,0,11,6,0,0,0,0,0,0,2,0,0,3,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27218,26479,25220,330,56,144,3,726,739,721,63,372,35,0,236,0,5,0,0,0,0,1,9,0,0,16,8,0,0,2,0,0,0,2,4,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27218,925,26293,25622,25069,322,53,144,1,33,671,666,61,365,35,0,191,0,5,0,0,0,0,0,9,0,0,3,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15184,13721,1463,2933,2890,2596,15,279,0,43,0,0,43
IL,23.0,1298554904,8771353,Clark,Clark County,A,15455,7327,39.3323343,-87.7916832,06,15455,15025,14784,54,28,60,0,99,430,412,51,187,33,5,113,12,0,0,0,2,0,0,4,1,4,12,3,0,0,2,0,1,4,0,0,1,0,0,0,0,1,0,0,0,0,0,5,3,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,15455,246,15209,14844,14680,54,28,52,0,30,365,348,51,187,29,5,65,8,0,0,0,0,0,0,2,1,0,11,3,0,0,2,0,1,4,0,0,1,0,0,0,0,0,0,0,0,0,0,5,3,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,11993,11711,11524,40,28,47,0,72,282,273,13,147,20,5,78,0,0,0,0,2,0,0,4,0,4,8,3,0,0,0,0,0,3,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,11993,155,11838,11600,11476,40,28,42,0,14,238,230,13,147,16,5,47,0,0,0,0,0,0,0,2,0,0,7,3,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,7327,6506,821,225,225,101,0,124,0,0,0,0,0
IL,25.0,1213022841,3064720,Clay,Clay County,A,13288,6145,38.7468187,-88.4823254,06,13288,12781,12524,38,40,79,3,97,507,468,50,207,19,3,185,0,0,0,3,0,0,0,0,1,0,35,13,5,0,4,4,0,4,3,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,2,0,0,0,0,0,0,13288,223,13065,12639,12481,30,33,77,0,18,426,399,48,206,18,3,123,0,0,0,0,0,0,0,0,1,0,25,13,5,0,3,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,10245,9908,9715,25,34,63,3,68,337,314,16,168,9,3,118,0,0,0,0,0,0,0,0,0,0,20,11,0,0,3,1,0,0,3,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,10245,131,10114,9816,9692,20,27,61,0,16,298,278,14,167,8,3,86,0,0,0,0,0,0,0,0,0,0,18,11,0,0,3,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,6145,5506,639,290,147,8,0,139,0,143,15,0,128
IL,27.0,1227502166,75634262,Clinton,Clinton County,A,36899,15574,38.6062953,-89.4262278,06,36899,35317,33085,1151,106,180,5,790,1582,1538,225,513,147,5,592,7,1,6,19,2,0,1,9,11,0,37,2,5,0,9,8,0,8,2,0,0,0,0,1,0,0,2,0,0,0,0,7,0,0,2,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36899,1387,35512,34338,32845,1140,80,175,5,93,1174,1134,220,506,143,5,222,7,1,6,8,0,0,1,9,6,0,33,2,5,0,8,7,0,7,1,0,0,0,0,1,0,0,2,0,0,0,0,7,0,0,2,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28856,27812,26002,1035,76,149,2,548,1044,1024,75,362,78,5,460,4,1,1,16,2,0,1,9,10,0,13,0,0,0,3,6,0,1,2,0,0,0,0,1,0,0,0,0,0,0,0,7,0,0,2,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28856,958,27898,27154,25853,1026,61,147,2,65,744,726,75,356,74,5,189,4,1,1,5,0,0,1,9,6,0,11,0,0,0,3,6,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,7,0,0,2,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15574,14258,1316,1734,1546,1294,0,252,0,188,0,0,188
